id,name,quantity,price,price_normalized,igd_type,brand,picture
51,노브랜드 비빔쫄면,420,3180,,g,NoBrand,노브랜드_비빔쫄면_eG4qWFR.jpeg
52,[노브랜드] 오리엔탈 드레싱 ,420,2880,,g,NoBrand,노브랜드_오리엔탈_드레싱__dTKeXZ3.jpeg
53,[노브랜드] 초코링 시리얼 ,570,3980,,g,NoBrand,노브랜드_초코링_시리얼__PDhgvFr.jpeg
54,노브랜드 콜드브루 아메리카노 ,500,1880,,m,NoBrand,노브랜드_콜드브루_아메리카노__OJims1t.jpeg
55,[노브랜드] 리얼 핫도그 ,750,6180,,g,NoBrand,노브랜드_리얼_핫도그__En8TksN.jpeg
56,[노브랜드] 홈스타일 크림 스프 ,100,980,,g,NoBrand,노브랜드_홈스타일_크림_스프__Xi0V5jC.jpeg
57,[노브랜드] 순살 치킨 너겟 ,800,6280,,g,NoBrand,노브랜드_순살_치킨_너겟__5qGeHnB.jpeg
58,노브랜드돈까스소스,430,2280,,g,NoBrand,노브랜드돈까스소스_EeqO1wq.jpeg
59,노브랜드 한입떡갈비 ,740,6880,, g,NoBrand,노브랜드_한입떡갈비__LqbNIta.jpeg
60,노브랜드 정성가득 초고추장 ,500,1580,,g,NoBrand,노브랜드_정성가득_초고추장__EEb74HT.jpeg
61,노브랜드 왕만두 ,980,5280,, g,NoBrand,노브랜드_왕만두__pjOw0Ee.jpeg
62,노브랜드 체다치즈볼 ,370,3980,,g,NoBrand,노브랜드_체다치즈볼__1Js3suu.jpeg
63,[노브랜드] 도토리묵 ,350,1580,,g,NoBrand,노브랜드_도토리묵__IOiUjtv.jpeg
64,노브랜드 헤이즐넛디핑&브레드스틱 ,52,980,,g,NoBrand,노브랜드_헤이즐넛디핑브레드스틱__hPvNhL2.jpeg
65,[노브랜드] 치즈 치킨 가스 ,600,6180,,g,NoBrand,노브랜드_치즈_치킨_가스__TkzsQrT.jpeg
66,노브랜드 우리쌀 우리보리 고추장 ,1,6980,,kg,NoBrand,노브랜드_우리쌀_우리보리_고추장__GkS6tfC.jpeg
67,[노브랜드] 초코 크림 케익 ,440,9980,,g,NoBrand,노브랜드_초코_크림_케익__gmoGWiQ.jpeg
68,노브랜드 피넛쿠키 ,283,1980,,g,NoBrand,노브랜드_피넛쿠키__4fbGPxP.jpeg
69,노브랜드 피넛버터 크리미 ,340,2980,,g,NoBrand,노브랜드_피넛버터_크리미__CLKFRan.jpeg
70,[노브랜드] 홈스타일 크림 스파게티 소스 ,400,1780,,g,NoBrand,노브랜드_홈스타일_크림_스파게티_소스__KBZYdGv.jpeg
71,노브랜드 고르곤졸라치즈 소프트콘 ,145,1280,,g,NoBrand,노브랜드_고르곤졸라치즈_소프트콘_.jpeg
72,[노브랜드] 바삭 냉동 군 만두 ,1,3980,,kg,NoBrand,노브랜드_바삭_냉동_군_만두__dfESJL7.jpeg
73,노브랜드 초코칩쿠키 ,400,3480,,g,NoBrand,노브랜드_초코칩쿠키__bPmVfgn.jpeg
74,소고기,0,0,0,g,"",carrot.png
75,설탕,0,0,0,스푼,"",carrot.png
76,대파,0,0,0,대,"",carrot.png
77,고추장,0,0,0,스푼,"",carrot.png
78,간장,0,0,0,스푼,"",carrot.png
79,고추가루,0,0,0,스푼,"",carrot.png
80,물,0,0,0,ml,"",carrot.png
81,다진마늘,0,0,0,T,"",carrot.png
82,국간장,0,0,0,T,"",carrot.png
83,대파,0,0,0,약간,"",carrot.png
84,계란,0,300,0,개,"",carrot.png
85,계란,0,0,0,개,"",carrot.png
86,밥,0,980,0,인분,"",carrot.png
87,굴소스,0,0,0,T,"",carrot.png
88,참기름,0,0,0,T,"",carrot.png
89,두부,0,2750,0,모,"",carrot.png
90,양파,0,590,0,개,"",carrot.png
91,고구마,0,1000,0,개,"",carrot.png
92,고구마,0,1000,0,개,"",carrot.png
93,기름,0,10,0,종이컵,"",carrot.png
94,올리고당,0,10,0,스푼,"",carrot.png
95,양파,0,100,0,g,"",carrot.png
96,고추,0,100,0,개,"",carrot.png
97,양파,0,100,0,개,"",carrot.png
98,검은콩,0,5000,0,kg,"",carrot.png
99,전복,0,990,0,0,"",carrot.png
100,쌀,0,1000,0,g,"",carrot.png
101,건새우,0,5000,0,g,"",carrot.png
102,메추리알,0,3000,0,개,"",carrot.png
103,소면,0,1000,0,인분,"",carrot.png
104,당근,0,0,0,g,"",carrot.png
105,단호박,0,0,0,개,"",carrot.png
106,김치,0,0,0,g,"",carrot.png
107,김,0,0,0,장,"",carrot.png
108,밥,0,980,0,인분,"",carrot.png
109,감자,0,2000,0,개,"",carrot.png
110,고추,0,1000,0,개,"",carrot.png
111,양파,0,500,0,개,"",carrot.png
112,고추,0,100,0,개,"",carrot.png
113,갈비,0,2500,0,g,"",carrot.png
114,부침가루,0,3000,0,g,"",carrot.png
115,미숫가루,0,5000,0,g,"",carrot.png
116,꿀,0,1000,0,g,"",carrot.png
117,콘,0,1500,0,g,"",carrot.png
118,치즈,0,14000,0,g,"",carrot.png
119,무,0,1000,0,개,"",carrot.png
120,연근,0,1000,0,개,"",carrot.png
121,호박,0,1500,0,개,"",carrot.png
122,감자,0,100,0,개,"",carrot.png
123,스펨,0,3500,0,개,"",carrot.png
124,소고기,0,1500,0,g,"",carrot.png
125,미역,0,100,0,0,"",carrot.png
126,소고기,0,1000,0,개,"",carrot.png
127,옥수수,0,1000,0,개,"",carrot.png
128,가지,0,800,0,개,"",carrot.png
129,양파,0,500,0,개,"",carrot.png
130,멸치,0,7000,0,g,"",carrot.png
131,고추,0,10,0,개,"",carrot.png
132,미역,0,800,0,g,"",carrot.png
133,가지,0,1500,0,개,"",carrot.png
134,오이,0,1500,0,개,"",carrot.png
135,식빵,0,80,0,개,"",carrot.png
136,콩나물,0,1500,0,g,"",carrot.png
137,간고기,0,2000,0,g,"",carrot.png
138,두부,0,3000,0,모,"",carrot.png
139,돼지고기,0,3000,0,g,"",carrot.png
